#trait	split	trait_name	R2	other_metric	covariates
GBE_INI50	INI50_test	Standing height	0.177568623875511		
GBE_INI50	INI50_non_british_white	Standing height	0.186101622148579		
GBE_INI50	INI50_s_asian	Standing height	0.0888880739826071		
GBE_INI50	INI50_e_asian	Standing height	0.0912652727583753		
GBE_INI50	INI50_african	Standing height	0.0366498347363934		
GBE_INI50	INI50_test	Standing height	0.718243311706106	Diff R2 (full-covars) = 0.181174817836282	age, sex Genotype PCs
GBE_INI50	INI50_non_british_white	Standing height	0.701749198265385	Diff R2 (full-covars) = 0.164816412370276	age, sex Genotype PCs
GBE_INI50	INI50_s_asian	Standing height	0.665225481945292	Diff R2 (full-covars) = 0.0815622788068344	age, sex Genotype PCs
GBE_INI50	INI50_e_asian	Standing height	0.607583307654381	Diff R2 (full-covars) = 0.0655202242628052	age, sex Genotype PCs
GBE_INI50	INI50_african	Standing height	0.500121289398702	Diff R2 (full-covars) = 0.0239143877966515	age, sex Genotype PCs
GBE_INI20015	INI20015_test	Sitting height	0.127600041756379		
GBE_INI20015	INI20015_non_british_white	Sitting height	0.133347551934616		
GBE_INI20015	INI20015_s_asian	Sitting height	0.0738437361144951		
GBE_INI20015	INI20015_e_asian	Sitting height	0.0779757205337188		
GBE_INI20015	INI20015_african	Sitting height	0.0260298660597106		
GBE_INI20015	INI20015_test	Sitting height	0.56255094023205	Diff R2 (full-covars) = 0.130415241134817	age, sex Genotype PCs
GBE_INI20015	INI20015_non_british_white	Sitting height	0.559935058266524	Diff R2 (full-covars) = 0.126982548099153	age, sex Genotype PCs
GBE_INI20015	INI20015_s_asian	Sitting height	0.521166130632934	Diff R2 (full-covars) = 0.0615281627635622	age, sex Genotype PCs
GBE_INI20015	INI20015_e_asian	Sitting height	0.49052483861939	Diff R2 (full-covars) = 0.0474757151509367	age, sex Genotype PCs
GBE_INI20015	INI20015_african	Sitting height	0.36820157878402	Diff R2 (full-covars) = 0.0103898371314945	age, sex Genotype PCs
GBE_INI23102	INI23102_test	Whole body water mass	0.0507623414097662		
GBE_INI23102	INI23102_non_british_white	Whole body water mass	0.0455824211038668		
GBE_INI23102	INI23102_s_asian	Whole body water mass	0.0275107354707106		
GBE_INI23102	INI23102_e_asian	Whole body water mass	0.0184006835889447		
GBE_INI23102	INI23102_african	Whole body water mass	0.0176220889848095		
GBE_INI23102	INI23102_test	Whole body water mass	0.757828989857465	Diff R2 (full-covars) = 0.052542510186531	age, sex Genotype PCs
GBE_INI23102	INI23102_non_british_white	Whole body water mass	0.756962598893194	Diff R2 (full-covars) = 0.0463723101081401	age, sex Genotype PCs
GBE_INI23102	INI23102_s_asian	Whole body water mass	0.694201656194416	Diff R2 (full-covars) = 0.0363129090114761	age, sex Genotype PCs
GBE_INI23102	INI23102_e_asian	Whole body water mass	0.749971686423402	Diff R2 (full-covars) = 0.00738738917372439	age, sex Genotype PCs
GBE_INI23102	INI23102_african	Whole body water mass	0.598351067796139	Diff R2 (full-covars) = 0.0100586687541319	age, sex Genotype PCs
GBE_INI23129	INI23129_test	Trunk fat-free mass	0.0525329600259362		
GBE_INI23129	INI23129_non_british_white	Trunk fat-free mass	0.0471878451135836		
