#trait	trait_name	trait_category	family	h2_obs	h2_obs_se	lambda_GC	mean_chi2	intercept	intercept_se	ratio	ratio_se	WB_case_n	WB_control_n	WB_prev	WB_prev_z	h2_liability
cancer1002	Breast cancer	Cancer	binomial	0.0191	0.0026	1.0496	1.0816	1.0025	0.0067	0.0301	0.0819	12366	324763	0.0366803211826927	0.080296619739682	0.10467486346203
cancer1003	Skin cancer	Cancer	binomial	0.0383	0.0057	1.0926	1.1914	1.0142	0.008	0.0741	0.0416	23144	313985	0.068650279269953	0.132269190973101	0.139970487940764
cancer1038	Male genital tract cancer	Cancer	binomial	0.0074	0.002	1.0255	1.036	1.0041	0.0068	0.1138	0.1884	3794	333335	0.0112538523829157	0.0295405612241197	0.0943583318416268
cancer1041	Cervical cancer	Cancer	binomial	0.0083	0.0048	1.0285	1.0488	1.0006	0.0086	0.0118	0.1766	2959	334170	0.00877705566711852	0.0237780295468861	0.127716370110483
cancer1044	Prostate cancer	Cancer	binomial	0.0229	0.0027	1.0649	1.1061	1.0019	0.0067	0.0182	0.0634	7841	329288	0.0232581593396	0.055004645993658	0.17194591714299
cancer1045	Testicular cancer	Cancer	binomial	-6e-04	0.002	1.0315	1.0363	1.039	0.0072	1.0737	0.1974	689	336440	0.00204372806848417	0.00646589988629737	-0.0292703502936673
cancer1059	Malignant melanoma	Cancer	binomial	0.0069	0.0023	1.0195	1.0318	1.0035	0.0061	0.1104	0.1934	4618	332511	0.0136980206389839	0.0350220563838224	0.0760034883899097
cancer1060	Non-melanoma skin cancer	Cancer	binomial	0.0401	0.0054	1.1019	1.2	1.0124	0.0077	0.0618	0.0385	20707	316422	0.0614215923281593	0.121324788774646	0.157049629034315
cancer1065	Thyroid cancer	Cancer	binomial	0.009	0.0016	1.0075	1.003	0.966	0.0059	<0	usually_indicates_GC_correction	570	336559	0.00169074745868792	0.00544219041839971	0.512907302418357
HC1020	TTE unspecified acute lower respiratory infection	Disease_outcome	binomial	0.0178	0.0022	1.1238	1.137	1.0569	0.006	0.4154	0.0439	40354	296775	0.119698987627881	0.199686571619299	0.0470374705563665
HC1021	TTE vasomotor and allergic rhinitis	Disease_outcome	binomial	0.0346	0.0048	1.105	1.1854	1.0106	0.0071	0.0571	0.0381	32441	304688	0.0962272601882365	0.17062244022577	0.103362060739827
HC1024	TTE nasal polyp	Disease_outcome	binomial	0.0191	0.0048	1.0527	1.0977	1.0004	0.007	0.0044	0.0713	5027	332102	0.0149112060961828	0.0376776359092069	0.197630617973966
HC1035	TTE other chronic obstructive pulmonary disease	Disease_outcome	binomial	0.024	0.0022	1.0957	1.1083	1.0072	0.0067	0.0663	0.0618	10798	326331	0.032029282559495	0.0718289008008707	0.14421891735706
HC1036	TTE asthma	Disease_outcome	binomial	0.0601	0.0097	1.1715	1.396	1.034	0.0086	0.0857	0.0217	45272	291857	0.134286875350385	0.216330696996331	0.149295165031952
HC1052	TTE other interstitial pulmonary diseases	Disease_outcome	binomial	0.0067	0.0018	1.0046	1.0104	0.9768	0.0059	<0	usually_indicates_GC_correction	1517	335612	0.00449976121899925	0.0131622902555517	0.173237820944554
HC1084	TTE duodenal ulcer	Disease_outcome	binomial	0.0087	0.0017	1.0466	1.0493	1.0072	0.0056	0.1468	0.1144	5724	331405	0.0169786639535608	0.0421144594916471	0.0818697090597891
HC1090	TTE acute appendicitis	Disease_outcome	binomial	0.0026	0.0017	1.0225	1.0162	1.0037	0.0064	0.2298	0.3948	2980	334149	0.00883934636296492	0.023925881766355	0.0397925388146786
HC1094	TTE inguinal hernia	Disease_outcome	binomial	0.0288	0.0031	1.0895	1.1545	0.9973	0.0068	<0	usually_indicates_GC_correction	18900	318229	0.0560616262617574	0.112933430109408	0.119496939676462
HC1098	TTE diaphragmatic hernia	Disease_outcome	binomial	0.0296	0.0022	1.1207	1.1533	1.0179	0.0063	0.1166	0.0408	30622	306507	0.0908316994384939	0.163503608067569	0.0914363232610133
HC1101	TTE crohn's disease [regional enteritis]	Disease_outcome	binomial	0.0087	0.0022	1.0285	1.0383	0.997	0.0062	<0	usually_indicates_GC_correction	1952	335177	0.0057900684901032	0.0164741826404208	0.184532683693236
HC1102	TTE ulcerative colitis	Disease_outcome	binomial	0.0161	0.0037	1.0496	1.0826	0.999	0.0067	<0	usually_indicates_GC_correction	3738	333391	0.0110877438606587	0.0291610841960245	0.207596241525779
HC1106	TTE diverticular disease of intestine	Disease_outcome	binomial	0.0412	0.0028	1.1333	1.1838	1.0119	0.0065	0.0649	0.0353	32350	304779	0.0959573338395688	0.170270417443935	0.123278094972565
HC1112	TTE other diseases of intestine	Disease_outcome	binomial	0.009	0.0017	1.0466	1.0481	1.0103	0.0058	0.2148	0.1208	16437	320692	0.0487558175060585	0.101081587425896	0.0408523325703291
HC1123	TTE other diseases of liver	Disease_outcome	binomial	0.0059	0.0017	1.0375	1.0385	1.0112	0.006	0.2898	0.1566	5838	331291	0.0173168134452984	0.0428301819590154	0.0547310369512247
HC1125	TTE cholelithiasis	Disease_outcome	binomial	0.0294	0.004	1.0895	1.1266	1.0091	0.0063	0.0719	0.0498	18814	318315	0.0558065310311483	0.112527866346594	0.122341325446732
HC1126	TTE cholecystitis	Disease_outcome	binomial	0.0045	0.0015	1.0195	1.0148	0.9951	0.0053	<0	usually_indicates_GC_correction	3505	333624	0.0103966137591248	0.0275718861742615	0.060902152523761
HC1132	TTE intestinal malabsorption	Disease_outcome	binomial	0.0427	0.0282	1.0588	2.8225	0.9901	0.0106	<0	usually_indicates_GC_correction	2848	334281	0.00844780484621614	0.0229937895964607	0.676497540301783
HC1158	TTE other dermatitis	Disease_outcome	binomial	0.0183	0.0057	1.0864	1.135	1.0387	0.0086	0.2867	0.0638	32143	304986	0.0953433255519401	0.169468067149822	0.0549603418080136
HC1159	TTE psoriasis	Disease_outcome	binomial	0.0569	0.0303	1.071	1.8907	0.9933	0.0092	<0	usually_indicates_GC_correction	9644	327485	0.0286062605115549	0.0654061532915252	0.369599555434637
HC1171	TTE skin changes due to chronic exposure to nonionising radiation	Disease_outcome	binomial	0.0136	0.0026	1.0557	1.0681	1.0066	0.0063	0.0966	0.093	13436	323693	0.0398541804472472	0.0859183662692339	0.0704981898286327
HC1184	TTE follicular cysts of skin and subcutaneous tissue	Disease_outcome	binomial	0.0105	0.0036	1.0285	1.0464	1.0011	0.0061	0.0229	0.1312	10044	327085	0.0297927499562482	0.0676518406210854	0.0663139919596
HC1188	TTE vitiligo	Disease_outcome	binomial	0.0178	0.0038	1.0225	1.0546	0.9607	0.007	<0	usually_indicates_GC_correction	713	336416	0.00211491743516577	0.00666992037874955	0.84440860615989
HC1190	TTE seborrhoeic keratosis	Disease_outcome	binomial	0.0141	0.0023	1.0802	1.0947	1.0307	0.0074	0.3245	0.0778	21403	315726	0.0634860839619256	0.124492780172683	0.0540908187822025
HC1209	TTE reactive arthropathies	Disease_outcome	binomial	0.0199	0.0037	0.9839	0.9992	0.9127	0.0079	NA	mean_chi^2<1	167	336962	0.000495359343159443	0.00176191406519325	3.173867593768
