trait_category	trait	trait_name	PGScatalog_ID	EFO_ID	EFO_label
Cancer	cancer1001	Lung cancer			
Cancer	cancer1002	Breast cancer	PGS001336	EFO_0000305	breast carcinoma
Cancer	cancer1003	Skin cancer	PGS001041	EFO_0009259	skin carcinoma
Cancer	cancer1005	Salivary gland cancer			
Cancer	cancer1018	Stomach cancer			
Cancer	cancer1024	Liver/hepatocellular cancer			
Cancer	cancer1025	Gallbladder/bile duct cancer			
Cancer	cancer1035	Bladder cancer			
Cancer	cancer1037	Female genital tract cancer			
Cancer	cancer1038	Male genital tract cancer	PGS001111	EFO_0007355	male reproductive organ cancer
Cancer	cancer1041	Cervical cancer	PGS001299	EFO_0001061	cervical carcinoma
Cancer	cancer1043	Vulval cancer			
Cancer	cancer1044	Prostate cancer	PGS001291	EFO_0001663	prostate carcinoma
Cancer	cancer1045	Testicular cancer	PGS001164	EFO_0005088	testicular carcinoma
Cancer	cancer1059	Malignant melanoma	PGS001304	EFO_0000756	melanoma
Cancer	cancer1060	Non-melanoma skin cancer	PGS001040	EFO_0009260	non-melanoma skin carcinoma
Cancer	cancer1065	Thyroid cancer	PGS001289	EFO_0002892	thyroid carcinoma
Cancer	cancer1068	Sarcoma/fibrosarcoma			
Cancer	cancer1074	Acute myeloid leukaemia			
Disease_outcome	HC1001	TTE acute nasopharyngitis [common cold]			
Disease_outcome	HC1005	TTE acute laryngitis and tracheitis			
Disease_outcome	HC1007	TTE acute upper respiratory infections of multiple and unspecified sites			
Disease_outcome	HC1012	TTE pneumonia due to streptococcus pneumoniae			
Disease_outcome	HC1013	TTE pneumonia due to haemophilus influenzae			
Disease_outcome	HC1014	TTE bacterial pneumonia, not elsewhere classified			
Disease_outcome	HC1017	TTE pneumonia, organism unspecified			
Disease_outcome	HC102	Vertigo			
Disease_outcome	HC1020	TTE unspecified acute lower respiratory infection	PGS000925	MONDO_0024355	respiratory tract infectious disease
Disease_outcome	HC1021	TTE vasomotor and allergic rhinitis	PGS001109	EFO_0007533|EFO_0005854	vasomotor rhinitis|allergic rhinitis
Disease_outcome	HC1023	TTE chronic sinusitis			
Disease_outcome	HC1024	TTE nasal polyp	PGS000933	HP_0100582	Nasal polyposis
Disease_outcome	HC1027	TTE peritonsillar abscess			
Disease_outcome	HC1028	TTE chronic laryngitis and laryngotracheitis			
Disease_outcome	HC1029	TTE diseases of vocal cords and larynx, not elsewhere classified			
Disease_outcome	HC103	Thyroid goitre			
Disease_outcome	HC1031	TTE bronchitis, not specified as acute or chronic			
Disease_outcome	HC1033	TTE unspecified chronic bronchitis			
Disease_outcome	HC1034	TTE emphysema			
Disease_outcome	HC1035	TTE other chronic obstructive pulmonary disease	PGS001334	EFO_0000341	chronic obstructive pulmonary disease
Disease_outcome	HC1036	TTE asthma	PGS001346	EFO_0000270	asthma
Disease_outcome	HC1038	TTE bronchiectasis			
Disease_outcome	HC1040	TTE pneumoconiosis due to asbestos and other mineral fibres			
Disease_outcome	HC1047	TTE pneumonitis due to solids and liquids			
Disease_outcome	HC1049	TTE adult respiratory distress syndrome			
Disease_outcome	HC1050	TTE pulmonary oedema			
Disease_outcome	HC1052	TTE other interstitial pulmonary diseases	PGS001251	EFO_0004244	interstitial lung disease
Disease_outcome	HC1054	TTE pyothorax			
Disease_outcome	HC1056	TTE pleural effusion in conditions classified elsewhere			
Disease_outcome	HC106	Emphysema/chronic bronchitis			
Disease_outcome	HC1063	TTE respiratory disorders in diseases classified elsewhere			
Disease_outcome	HC1064	TTE disorders of tooth development and eruption			
Disease_outcome	HC1069	TTE gingivitis and periodontal diseases			
Disease_outcome	HC1070	TTE other disorders of gingiva and edentulous alveolar ridge			
Disease_outcome	HC1071	TTE dentofacial anomalies [including malocclusion]			
Disease_outcome	HC1072	TTE other disorders of teeth and supporting structures			
Disease_outcome	HC1073	TTE cysts of oral region, not elsewhere classified			
Disease_outcome	HC1084	TTE duodenal ulcer	PGS001390	EFO_0004607	duodenal ulcer
Disease_outcome	HC1090	TTE acute appendicitis	PGS001369	EFO_0007149	appendicitis
Disease_outcome	HC1094	TTE inguinal hernia	PGS000949	HP_0000023	Inguinal hernia
Disease_outcome	HC1095	TTE femoral hernia			
Disease_outcome	HC1096	TTE umbilical hernia			
Disease_outcome	HC1098	TTE diaphragmatic hernia	PGS001050	EFO_0008561	diaphragmatic hernia
Disease_outcome	HC110	Stroke			
Disease_outcome	HC1101	TTE crohn's disease [regional enteritis]	PGS001330	EFO_0000384	Crohn's disease
Disease_outcome	HC1102	TTE ulcerative colitis	PGS001307	EFO_0000729	ulcerative colitis
Disease_outcome	HC1103	TTE other non-infective gastro-enteritis and colitis			
Disease_outcome	HC1104	TTE vascular disorders of intestine			
Disease_outcome	HC1106	TTE diverticular disease of intestine	PGS000997	EFO_0009959	diverticular disease
Disease_outcome	HC1111	TTE other diseases of anus and rectum			
Disease_outcome	HC1112	TTE other diseases of intestine	PGS001516	EFO_0009431	intestinal disease
Disease_outcome	HC1117	TTE alcoholic liver disease			
Disease_outcome	HC1119	TTE hepatic failure, not elsewhere classified			
Disease_outcome	HC1120	TTE chronic hepatitis, not elsewhere classified			
Disease_outcome	HC1121	TTE fibrosis and cirrhosis of liver			
Disease_outcome	HC1122	TTE other inflammatory liver diseases			
Disease_outcome	HC1123	TTE other diseases of liver	PGS001293	EFO_0001421	liver disease
Disease_outcome	HC1125	TTE cholelithiasis	PGS001174	EFO_0004799	cholelithiasis
Disease_outcome	HC1126	TTE cholecystitis	PGS000943	HP_0001082	Cholecystitis
Disease_outcome	HC113	Irregular heart beat			
Disease_outcome	HC1132	TTE intestinal malabsorption	PGS000940	HP_0002024	Malabsorption
Disease_outcome	HC1139	TTE cellulitis			
Disease_outcome	HC1141	TTE pilonidal cyst			
Disease_outcome	HC1142	TTE other local infections of skin and subcutaneous tissue			
Disease_outcome	HC1148	TTE atopic dermatitis			
Disease_outcome	HC1149	TTE seborrhoeic dermatitis			
Disease_outcome	HC1152	TTE irritant contact dermatitis			
Disease_outcome	HC1157	TTE pruritus			
Disease_outcome	HC1158	TTE other dermatitis	PGS000927	MONDO_0002406	dermatitis
Disease_outcome	HC1159	TTE psoriasis	PGS001313	EFO_0000676	psoriasis
Disease_outcome	HC1161	TTE pityriasis rosea			
Disease_outcome	HC1162	TTE lichen planus			
Disease_outcome	HC1167	TTE other erythematous conditions			
Disease_outcome	HC1169	TTE sunburn			
